,brand,model,screen_size,color,harddisk,cpu,ram,OS,cpu_speed,rating,price
2340,Dell,Latitude 3320 Laptop,13.3 Inches,Black,256 GB,Core i5,16 GB,Windows 11 Home,,,$730.99 
2341,Dell,Latitude 7430 Laptop,14 Inches,Aluminum,1000 GB,Core i7,16 GB,Windows 11 Pro,,4.0,$941.99 
2342,Lenovo,ThinkPad P15 Gen 2,15.6 Inches,Black,1 TB,Core i7 Family,32 GB,Windows 10 Pro,,,"$2,603.00 "
2343,Dell,Inspiron 3515,15.6 Inches,,256 GB,AMD R Series,8 GB,Windows 10 Pro,2.1 GHz,,$976.99 
2344,Dell,XPS 15 7590,15.6 Inches,,1 TB,Intel Core Duo,32 GB,Windows 10 Pro,,3.0,"$1,599.95 "
2345,Dell,XPS 9320 Laptop,13.4 Inches,Black,2000 GB,Core i7,32 GB,Windows 11 Home,,,"$1,350.99 "
2346,Lenovo,ThinkPad E15,15.6 Inches,,1000 GB,Core i7,24 GB,Windows 11 Pro,1.7 GHz,,"$1,094.99 "
2347,ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,1.1 GHz,5.0,$389.99 
2348,HP,,14 Inches,Rose Gold,64 GB,Celeron N4000,16 GB,Windows 11,1.1 GHz,4.7,$389.99 
2349,HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,1.1 GHz,4.4,$459.99 
2350,Dell,Precision,15.6 Inches,Black,512 GB,Core i7 Family,16 GB,Windows 10,,1.0,"$1,399.95 "
2351,Dell,,14 Inches,,32 GB,Core i7,32 GB,,1.7 GHz,4.3,$880.62 
2352,Dell,Inspiron 5425 Laptop,14 Inches,"Gray, Grey, Platinum Silver",512 GB,AMD Ryzen 7,16 GB,Windows 11 Home,,5.0,$800.19 
2353,Dell,Latitude 5430 Laptop,14 Inches,Black,1000 GB,Core i7,64 GB,Windows 11 Pro,,,"$1,134.49 "
2354,Lenovo,ThinkPad X1 Carbon Gen 8,14 Inches,Black,512 GB,,16 GB,Windows 10,,3.8,$950.77 
2355,Razer,Blade 15,15.6 Inches,Black,,Corei7-10750H,16 GB,Windows 10 Home,,4.2,"$3,099.00 "
2356,Dell,Vostro 3520 Laptop,15.6 Inches,Black,256 GB,Core i5,8 GB,Windows 11 Pro,,,$628.99 
2357,HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,,4.5,$999.99 
2358,ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,,$639.99 
2359,DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,,$899.99 
2360,MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,1.8 GHz,5.0,"$1,599.00 "
2361,MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,1.8 GHz,1.0,"$1,699.00 "
2362,ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,1.2 GHz,,$589.99 
2363,HP,HP EliteBook,14 Inches,Silver,,1.2GHz Cortex A8 Processor,1 GB,Windows 10,,,"$1,194.77 "
2364,Dell,Alienware X14 Laptop,14 Inches,Lunar Light,1000 GB,Core i7,16 GB,Windows 11 Home,,,"$2,086.99 "
2365,Lenovo,,15.6 Inches,Gray,512 GB,Core i7,16 GB,Windows 10,,3.8,"$2,699.00 "
2366,Dell,Dell-7855-G7-512SSD,15.6 Inches,Black,512 GB,Core i7,16 GB,Windows 10 Home,,5.0,"$1,799.00 "
2367,Lenovo,Lenovo 17.3 L,17.3 Inches,Platinum Grey,128 GB,Ryzen 3 1300X,8 GB,Windows 10,,4.7,$686.90 
2368,ASUS,ASUS Rog Zephyrus,15.6 Inches,Black,1 TB,Corei7-10875H,16 GB,Windows 10 Pro,,3.5,"$1,999.99 "
2369,Dell,Dell Inspiron 16 5625,16 Inches,Silver,1000 GB,AMD Ryzen 7,32 GB,Windows 11 Home,,,$925.99 
2370,Dell,Dell Precision 5520 Mobile Workstation,15.6 Inches,,,,16 GB,Windows 10 Pro,2.9 GHz,2.0,"$1,799.81 "
2371,ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,1.1 GHz,5.0,$389.99 
2372,HP,,14 Inches,Rose Gold,64 GB,Celeron N4000,16 GB,Windows 11,1.1 GHz,4.7,$389.99 
2373,HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,1.1 GHz,4.4,$459.99 
2374,dell,,15.6 Inches,,1 TB,Core i5,8 GB,Windows 10,,4.0,$725.00 
2375,Dell,Alienware X17 R2 Laptop,17.3 Inches,Lunar Light,1000 GB,Core i9,64 GB,Windows 11 Pro,,,"$3,157.99 "
2376,Dell,Alienware m15 R3 Laptop,15.6 Inches,Dark Side of the Moon,512 GB,Core i7,16 GB,Windows 10 Home,,,"$1,499.95 "
2377,ASUS,ZenBook 14,14 Inches,,512 GB,Intel Core i5,8 GB,Windows 10 Home,4.2 GHz,4.3,"$1,099.00 "
2378,HP,ZBook Fury G8,17.3 Inches,,1 TB,Core i9,64 GB,Windows 11 Pro,,,"$5,598.29 "
2379,HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,,4.5,$999.99 
2380,ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,,$639.99 
2381,DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,,$899.99 
2382,MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,1.8 GHz,5.0,"$1,599.00 "
2383,MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,1.8 GHz,1.0,"$1,699.00 "
2384,ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,1.2 GHz,,$589.99 
2385,Lenovo,,14 Inches,,1 TB,,16 GB,Windows 11 Pro,3.4 GHz,,$979.99 
2386,Lenovo,Lenovo Ideapad,15.6 Inches,,512 MB,AMD Ryzen 7,8 GB,Windows 10,2 GHz,3.9,$599.00 
2387,Dell,Latitude 7320 Laptop,13.3 Inches,Black,256 GB,Core i5,8 GB,Windows 10 Pro,,,$683.99 
2388,Lenovo,ThinkPad T14 G1,14 Inches,Black,,Core i7,16 GB,Windows 10 Pro,1.8,3.5,$695.77 
2389,Lenovo,Lenovo ThinkPad P1 Gen 5,16 Inches,,512 GB,Core i7,16 GB,Windows 11 Pro,,,"$1,799.00 "
2390,ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,1.1 GHz,5.0,$389.99 
2391,HP,,14 Inches,Rose Gold,64 GB,Celeron N4000,16 GB,Windows 11,1.1 GHz,4.7,$389.99 
2392,HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,1.1 GHz,4.4,$459.99 
2393,Dell,AWm17-7296WHT-PUS,17.3 Inches,lunar light,1 TB,Corei7-10750H,16 GB,Windows 10 Home,,4.4,"$2,395.00 "
2394,acer,CB315-1HT,15.6 Inches,Platinum Grey,32 GB,Celeron N3350,4 GB,Chrome OS,,3.9,$258.90 
2395,Dell,Dell Latitude 5520,15.6 Inches,Silver,1 TB,Core i5,32 GB,Windows 10 Pro,,4.0,"$1,038.28 "
2396,ASUS,ROG Strix Scar 15,15.6 Inches,Black,1 TB,Ryzen 9,32 GB,Windows 10 Pro,,4.1,"$2,099.99 "
2397,Dell,Inspiron 5625 Laptop,16 Inches,"Grey, Gray, Platinum Silver",1000 GB,AMD Ryzen 7,32 GB,Windows 11 Home,,,$765.11 
2398,HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,,4.5,$999.99 
2399,ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,,$639.99 
2400,DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,,$899.99 
2401,MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,1.8 GHz,5.0,"$1,599.00 "
2402,MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,1.8 GHz,1.0,"$1,699.00 "
2403,ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,1.2 GHz,,$589.99 
2404,lenovo,80mk0010us,13.3 Inches,,256 GB,,8 GB,Windows 10 Home 64,2.5 GHz,3.3,"$1,399.99 "
2405,Dell,Dell XPS,15.6 Inches,,1 TB,,32 GB,Windows 10 Pro,2 GHz,3.6,"$1,805.99 "
2406,Dell,Inspiron 3515,15.6 Inches,,512 GB,AMD R Series,8 GB,Windows 10 Home,2.1 GHz,5.0,"$1,012.99 "
2407,Dell,Latitude 7520 Laptop,15.6 Inches,Black,512 GB,Core i5,16 GB,Windows 11 Pro,,,"$1,068.99 "
2408,DELL,Dell XPS,13.3 Inches,Rose Gold,,,8 GB,Windows 10 Home,,4.0,$839.99 
2409,Lenovo,ThinkPad L14 Gen 3,14 Inches,,256 GB,Core i7,16 GB,Windows 11,,,"$1,220.99 "
2410,Dell,Latitude 7430 Laptop,14 Inches,Aluminum,1000 GB,Core i7,32 GB,Windows 11 Pro,,,"$1,773.99 "
2411,ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,1.1 GHz,5.0,$389.99 
2412,HP,,14 Inches,Rose Gold,64 GB,Celeron N4000,16 GB,Windows 11,1.1 GHz,4.7,$389.99 
2413,HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,1.1 GHz,4.4,$459.99 
2414,Dell,Latitude 5520 Laptop,15.6 Inches,Black,2000 GB,Core i5,32 GB,Windows 11 Pro,,,"$1,031.99 "
2415,Lenovo,Thinkpad P52,15.6 Inches,Black,1 TB,Core i7,64 GB,Windows 10 Pro,,,"$3,199.00 "
2416,Dell,Inspiron 5625 Laptop,16 Inches,"Grey, Gray, Platinum Silver",512 GB,AMD Ryzen 7,32 GB,Windows 11 Pro,,,$911.99 
2417,Dell,Latitude 3000,15.6 Inches,Black,256 GB,Core i7,8 GB,Windows 10 Pro,,,$919.99 
2418,Dell,Latitude 7330 Laptop,13.3 Inches,Carbon Fiber,256 GB,Core i5,16 GB,Windows 11 Pro,,,$692.99 
2419,HP,,15.6 Inches,,,,32 GB,Windows 10 Pro,,4.5,"$2,699.00 "
2420,Dell,Dell XPS,13.3 Inches,,,8032,16 GB,Windows 10 Pro,,5.0,"$1,275.81 "
2421,HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,,4.5,$999.99 
2422,ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,,$639.99 
2423,DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,,$899.99 
2424,MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,1.8 GHz,5.0,"$1,599.00 "
2425,MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,1.8 GHz,1.0,"$1,699.00 "
2426,ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,1.2 GHz,,$589.99 
2427,ROKC,,14 Inches,Gray,512 GB,Intel Core i3,12 GB,Windows 11,1.7 GHz,,$469.99 
2428,HP,Elite Dragonfly,13.3 Inches,Blue,,Intel Core i5,16 GB,Windows 10 Pro,1.6 GHz,4.3,"$1,341.77 "
2429,Dell,Latitude 5520,15.6 Inches,,256 GB,Core i5,16 GB,Windows 11 Pro,,,"$1,690.99 "
2430,MSI,Summit E14Evo A12M-025,14 Inches,Ink Black,512 GB,Core i7,16 GB,Windows 11 Pro,,,$936.79 
2431,MSI,GP66 Leopard,15.6 Inches,,1 TB,Core i7,32 GB,Windows 10 Home,2.3 GHz,,"$2,699.00 "
2432,Dell,Latitude 5520 Laptop,15.6 Inches,Black,512 GB,Core i5,32 GB,Windows 11 Pro,,,"$1,424.99 "
2433,ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,1.1 GHz,5.0,$389.99 
2434,HP,,14 Inches,Rose Gold,64 GB,Celeron N4000,16 GB,Windows 11,1.1 GHz,4.7,$389.99 
2435,HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,1.1 GHz,4.4,$459.99 
2436,Dell,Alienware m17 Ryzen Edition R5 Laptop,17.3 Inches,Dark Side of the Moon,1000 GB,AMD Ryzen 7,32 GB,Windows 11 Home,,,"$2,220.99 "
2437,Dell,Latitude 5430 Laptop,14 Inches,Black,256 GB,Core i5,16 GB,Windows 11 Pro,,,$956.99 
2438,Lenovo,,14 Inches,,256 GB,,8 GB,Windows 10 Pro,,,$699.99 
2439,hp,,14 Inches,,,,4 GB,Windows 10 Home,3.7 GHz,3.5,$339.00 
2440,Dell,Dell Latitude,13.3 Inches,,,8032,8 GB,Windows 10,,3.2,$963.72 
2441,HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,,4.5,$999.99 
2442,ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,,$639.99 
2443,DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,,$899.99 
2444,MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,1.8 GHz,5.0,"$1,599.00 "
2445,MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,1.8 GHz,1.0,"$1,699.00 "
2446,ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,1.2 GHz,,$589.99 
2447,Dell,Latitude 5320 Laptop,13.3 Inches,Black,512 GB,Core i7,16 GB,Windows 10 Pro,,,"$1,102.99 "
2448,Dell,,15.6 Inches,,1 TB,Intel Core i5,32 GB,Windows 11 Home,4.2 GHz,,$677.99 
2449,Dell,LATITUDE 5580,15.6 Inches,Black,256 GB,Core i7,8 GB,Windows 10 Pro 64 Bit-Multi-Language Support English/French/Spanish.,,,$368.98 
2450,Apple,,16.2 Inches,,4 TB,Apple M2 Max,64 GB,macOS 10.14 Mojave,3.6 GHz,,"$4,888.99 "
2451,Dell,Precision 7760 Laptop,17.3 Inches,Silver,512 GB,Core i7,32 GB,Windows 10 Pro,,,"$1,744.99 "
2452,Lenovo,Lenovo Thinkpad,11.6 Inches,,,Celeron,4 GB,Windows,1 GHz,,$369.00 
2453,DELL,Dell XPS 15 9520,15.6 Inches,Platinum Silver,1 TB,Core i9,32 GB,Windows 11 Home,,,"$2,999.00 "
2454,Dell,Dell Precision 7770 Laptop,17 Inches,Silver,2 TB,Intel Core i7,64 GB,Windows 11 Pro,,,"$3,377.99 "
2455,ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,1.1 GHz,5.0,$389.99 
2456,HP,,14 Inches,Rose Gold,64 GB,Celeron N4000,16 GB,Windows 11,1.1 GHz,4.7,$389.99 
2457,HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,1.1 GHz,4.4,$459.99 
2458,HP,HP Pavilion,15.6 Inches,,1 TB,Core i5,6 GB,Windows 10,,3.3,$399.00 
2459,HP,EliteBook 645 G9,15.6 Inches,,512 GB,Ryzen 5,16 GB,Windows 10 Pro,,,"$1,296.00 "
2460,Dell,Latitude 7330,13 Inches,,512 GB,Intel Core i7,16 GB,Windows 11 Pro,4.8 GHz,,"$1,999.00 "
2461,Dell,Latitude 5330,13.3 Inches,,512 GB,Core i7 Family,16 GB,Windows 11 Pro,,5.0,"$1,699.00 "
2462,Dell,Latitude 5531,15.6 Inches,,1 TB,Core i7,64 GB,Windows 11 Pro,4.8 GHz,,"$1,786.59 "
2463,Dell,Latitude Rugged 5424 Laptop,14 Inches,Black,1000 GB,Core i7,32 GB,Windows 10 Pro,,,"$1,929.95 "
2464,Dell,Alienware m18 Laptop,18 Inches,Black,1000 GB,Core i7,16 GB,Windows 11 Pro,,,"$2,214.99 "
2465,Dell,Inspiron,14 Inches,,2 TB,Intel Core i7,64 GB,Windows 11 Pro,,,"$1,689.99 "
2466,HP,,14 Inches,,,Core i7,16 GB,Windows 10,,,"$2,425.99 "
2467,HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,,4.5,$999.99 
2468,ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,,$639.99 
2469,DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,,$899.99 
2470,MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,1.8 GHz,5.0,"$1,599.00 "
2471,MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,1.8 GHz,1.0,"$1,699.00 "
2472,ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,1.2 GHz,,$589.99 
2473,Lenovo,Lenovo Thinkpad,14 Inches,,512 GB,Core i7,16 GB,Windows 10 Pro,3 GHz,,"$1,099.00 "
2474,Dell,Precision 5000,17 Inches,,512 GB,Core i7,16 GB,Windows 11,,,"$2,460.15 "
2475,HP,ZBook Firefly 16 G9,16 Inches,,1 TB,Core i7,32 GB,Windows 11 Pro,,,"$2,759.00 "
2476,Dell,Latitude,15.6 Inches,,512 GB,Core i5,8 GB,Windows 10 Pro,,5.0,"$1,293.59 "
2477,Dell,G16 7620 Laptop,16 Inches,Black,1000 GB,Core i9,16 GB,Windows 11 Home,,,"$1,799.00 "
2478,HP,1FX81UT#ABA,11.6 Inches,Information not Available,,8032,2 GB,Unknown,,4.2,$228.00 
2479,ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,1.1 GHz,5.0,$389.99 
2480,HP,,14 Inches,Rose Gold,64 GB,Celeron N4000,16 GB,Windows 11,1.1 GHz,4.7,$389.99 
2481,HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,1.1 GHz,4.4,$459.99 
2482,Dell,Dell XPS,15.6 Inches,,1 TB,Intel Core M-5Y10 Processor,32 GB,Windows 10,,5.0,"$1,799.95 "
2483,HP,2K2Z1US#ABA,15.6 Inches,Silver,1 TB,Intel Core i7,64 GB,Windows 10 Pro,,5.0,"$2,499.00 "
2484,Dell,Alienware m18 Laptop,18 Inches,Black,1000 GB,Core i7,32 GB,Windows 11 Home,,,"$2,340.99 "
2485,HP,HP EliteBook,13.3 Inches,,256 GB,Core i7,16 GB,,1.1 GHz,,"$2,499.00 "
2486,Dell,Latitude 7320 Detachable 2-in-1,13 Inches,Black,256 GB,Core i7,16 GB,Windows 11 Home,,,"$1,030.99 "
2487,HP,EliteBook,15.6 Inches,Silver,,8032,8 GB,Windows 10 Pro,,,"$1,699.00 "
2488,HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,,4.5,$999.99 
2489,ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,,$639.99 
2490,DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,,$899.99 
2491,MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,1.8 GHz,5.0,"$1,599.00 "
2492,MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,1.8 GHz,1.0,"$1,699.00 "
2493,ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,1.2 GHz,,$589.99 
2494,Dell,Precision 7770 Laptop,17.3 Inches,Silver,256 GB,Core i5,16 GB,Windows 11 Pro,,,"$1,657.21 "
2495,MSI,Prestige 15 A11SC-034,15.6 Inches,Carbon Gray,,Core i7,16 GB,Win 10 Multi-language /Free upgrade to Win 11,,,$928.68 
2496,Dell,Latitude Rugged 5430 Laptop,14 Inches,Black,1000 GB,Core i7,64 GB,Windows 11 Pro,,,"$3,239.89 "
2497,Dell,Vostro 3510,15.6 Inches,Carbon Black,512 GB,Core i5,16 GB,Windows 10 Pro,,5.0,$751.06 
2498,ASUS,UX461UN-DS74T,14 Inches,Slate Grey,512 GB,Intel Core i7,16 GB,Windows 10 Home,,3.5,"$1,799.00 "
2499,Dell,,17.3 Inches,,1 TB,Intel Core i9,32 GB,Windows 11 Pro,5 GHz,,"$3,298.00 "
2500,ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,1.1 GHz,5.0,$389.99 
2501,HP,,14 Inches,Rose Gold,64 GB,Celeron N4000,16 GB,Windows 11,1.1 GHz,4.7,$389.99 
2502,HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,1.1 GHz,4.4,$459.99 
2503,Lenovo,ThinkPad E14 Gen 4,14 Inches,,256 GB,Core i5,8 GB,Windows 11 Pro,,,$949.00 
2504,Dell,Latitude Rugged Extreme 7220 Laptop,11.6 Inches,Black,256 GB,Core i5,16 GB,Windows 10 Pro,,,"$1,159.95 "
2505,Lenovo,Lenovo Thinkpad,13.3 Inches,,512 GB,Core i7,16 GB,Windows 10 Pro,1.8 GHz,,"$1,799.00 "
2506,Dell,Latitude 5330 Laptop,13.3 Inches,Black,256 GB,Core i5,8 GB,Windows 11 Pro,,,$658.99 
2507,Dell,Inspiron 7420 2-in-1,14 Inches,"Grey, Platinum Silver",512 GB,Core i7,16 GB,Windows 11 Home,,,$787.99 
2508,Dell,Precision 5000,14 Inches,,512 GB,Core i7,16 GB,Windows 10 Pro,,,"$2,508.39 "
2509,HP,HP ENVY Laptop 13-aq0005nr,13.3 Inches,,256 GB,Intel Core i7,8 GB,Windows 10 Home,,4.1,"$1,399.00 "
2510,Dell,Precision 7750 Laptop,17.3 Inches,Silver,1000 GB,Core i7,32 GB,Windows 10 Pro,,,"$1,799.95 "
2511,HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,,4.5,$999.99 
2512,ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,,$639.99 
2513,DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,,$899.99 
2514,MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,1.8 GHz,5.0,"$1,599.00 "
2515,MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,1.8 GHz,1.0,"$1,699.00 "
2516,ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,1.2 GHz,,$589.99 
2517,Dell,Precision 3000,,Black,,Core i7,16 GB,Windows 10 Pro,,,"$1,790.16 "
2518,Dell,Inspiron 3511,15.6 Inches,,1 TB,Core i5,64 GB,Windows 11 Pro,1 GHz,,$753.11 
2519,Dell,Latitude,15.6 Inches,Silver,1 TB,Core i7 Family,16 GB,Windows 11 Pro,,,"$1,169.77 "
2520,Dell,Inspiron 3511 Laptop,15.6 Inches,Black,256 GB,Core i5,8 GB,Windows 11 Home,,,$533.02 
2521,Lenovo,20FN002JUS,14 Inches,Black,256 GB,Core i5,4 GB,Windows 10 DG Windows 7 Pro 64,,3.7,$750.00 
2522,ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,1.1 GHz,5.0,$389.99 
2523,HP,,14 Inches,Rose Gold,64 GB,Celeron N4000,16 GB,Windows 11,1.1 GHz,4.7,$389.99 
2524,HP,,15.6 Inches,Black,1000 GB,Pentium N5000,16 GB,Windows 11,1.1 GHz,4.4,$459.99 
2525,Dell,XPS7390-7954SLV-PUS,13.4 Inches,Silver,512 GB,Core i7-1065G7,32 GB,Windows 10 Home,,4.0,"$1,799.00 "
2526,HP,EliteBook 860 G9,16 Inches,,256 GB,Core i5,16 GB,Windows 11 Pro,,,"$1,764.96 "
2527,HP,16T-F100,16 Inches,Nocturne Blue,2 TB,Core i7 Family,16 GB,Windows 11 Pro,,5.0,"$1,899.00 "
2528,HP,,15.6 Inches,,,,12 GB,Windows 11 Home,,,$470.04 
2529,Dell,Latitude 3320 Laptop,13.3 Inches,Black,512 GB,Core i5,8 GB,Windows 11 Pro,,,$730.99 
2530,HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,,4.5,$999.99 
2531,ROKC,Ideapad 3,15.6 Inches,Gray,1000 GB,Intel Core i5,20 GB,Windows 11,,,$639.99 
2532,DELL,Inspiron,16 Inches,Silver,1000 GB,Intel Core i5,32 GB,Windows 11,,,$899.99 
2533,MSI,Vector GP66 12UGS-267,15.66 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,1.8 GHz,5.0,"$1,599.00 "
2534,MSI,Stealth GS66 12UGS-025,15.6 Inches,Core Black,,Intel Core i9,32 GB,Windows 11 Home,1.8 GHz,1.0,"$1,699.00 "
2535,ROKC,,14 Inches,Blue,1000 GB,Intel Core i7,8 GB,Windows 11,1.2 GHz,,$589.99 
2536,Dell,Latitude 3320 Laptop,13.3 Inches,Black,512 GB,Core i5,8 GB,Windows 11 Pro,,,$730.99 
2537,Dell,LATITUDE 5580,15.6 Inches,Black,512 GB,Core i7,16 GB,Windows 10 Pro 64 Bit-Multi-Language Support English/French/Spanish.,,,$412.98 
2538,HP,HP ProBook,13.3 Inches,,256 GB,,8 GB,Windows 10 Pro,2.6 GHz,,$929.00 
2539,acer,Predator Helios 300 PH315-54,15.6 Inches,Abyss Black,1 TB,Core i7 Family,16 GB,Windows 10 Pro,,,"$1,829.99 "
2540,Dell,Latitude 3420 Laptop,14 Inches,Black,256 GB,Core i5,8 GB,Windows 11 Pro,,,$672.99 
2541,HP,HP EliteBook,14 Inches,,512 GB,Core i7,16 GB,Windows 10 Pro,1.1 GHz,,"$2,799.00 "
2542,Dell,Precision 7560 Laptop,15.6 Inches,Silver,1000 GB,Core i9,32 GB,Windows 10 Pro,,,"$4,000.00 "
2543,ROKC,,15.6 Inches,Blue,1152 GB,Pentium,20 GB,Windows 11,1.1 GHz,5.0,$389.99 
2544,HP,,14 Inches,Rose Gold,64 GB,Celeron N4000,16 GB,Windows 11,1.1 GHz,4.7,$389.99 
2545,HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,,4.5,$999.99 
2546,ASUS,GU502LV-BI7N8,15.6 Inches,Black,1 TB,Corei7-10750H,16 GB,Windows 10,,3.4,"$2,299.00 "
2547,HP,ELITEBOOK 820G3,12.5 Inches,Black,1000 GB,Core i5,16 GB,Windows 10 Pro 64 Bit Multi-Language Support English/French/Spanish,,,$322.98 
2548,MSI,GS75 STEALTH-242,17.3 Inches,,1 TB,Core i7,32 GB,Windows 10 Home,2.6 GHz,5.0,"$3,399.00 "
2549,Lenovo,ThinkPad P15 Gen 1,15.6 Inches,Black,1 TB,Core i9,64 GB,Windows 10 Pro,,,"$3,799.00 "
2550,acer,Acer Swift,15.6 Inches,Black,256 GB,Ryzen 7 2700U,8 GB,Windows 10 Home,,4.0,"$1,399.00 "
2551,Dell,Latitude 7330 Laptop,13.3 Inches,Carbon Fiber,256 GB,Core i7,16 GB,Windows 11 Pro,,,$843.99 
